Subject,Start Date,Start Time,End Date,End Time,Description,Location
Talk 1 A Practitioner’s Guide to Digital Twin Development,10/15/2023,8:00 AM,10/15/2023,9:15 AM,Part of SA01. A Practitioner's Guide to Digital Twin Development,CC-North 120A
Talk 1 Agricultural Index Insurance: An Optimization Approach,10/15/2023,8:00 AM,10/15/2023,9:15 AM,Part of SA30. Agricultural and Environmental Operations,CC-North 132C
Talk 1 Algorithms with Predictions,10/15/2023,8:00 AM,10/15/2023,9:15 AM,Part of SA08. APS Special Session: Algorithms with Predictions,CC-North 122B
Talk 1 Integrated Truck and Drone Delivery Systems,10/15/2023,8:00 AM,10/15/2023,9:15 AM,Part of SA40. Delivery Systems Modeling with Emerging Vehicle Technologies,CC-North 225A
Talk 1 Muti-Stage Newsvendor Optimization for Capacity Planning,10/15/2023,8:00 AM,10/15/2023,9:15 AM,Part of SA31. Amazon Last Mile Resources Optimization,CC-North 221A
Talk 2 Aggregate Then Predict and Optimize: Addressing Uncertainties in Multi-Item Spare Part Inventory Systems,10/15/2023,8:00 AM,10/15/2023,9:15 AM,Part of SA38. Learning and Optimization Algorithms,CC-North 224A
Talk 2 Exploring Nutritional Equity in Food Bank Supply Chains,10/15/2023,8:00 AM,10/15/2023,9:15 AM,Part of SA54. Optimization and AI in Environment and Sustainability,CC-North 231B
Talk 3 A Continuous Approximation Model for Urban Electric Robotic Deliveries with Maintenance Costs,10/15/2023,8:00 AM,10/15/2023,9:15 AM,Part of SA40. Delivery Systems Modeling with Emerging Vehicle Technologies,CC-North 225A
Talk 3 Carbon-Aware Optimal Power Flow,10/15/2023,8:00 AM,10/15/2023,9:15 AM,Part of SA53. Advanced Learning and Optimization for Carbon-Neutral Electricity,CC-North 231A
Talk 3 Load Balancing for Online Truck Routing,10/15/2023,8:00 AM,10/15/2023,9:15 AM,Part of SA75. Optimization of Logistics Delivery Systems,CC-West 208A
Talk 3 Optimizing Sampling Plans for Detecting Dangerous Medical Products in a Supply Chain,10/15/2023,8:00 AM,10/15/2023,9:15 AM,Part of SA10. Healthcare Applications of Probability Theory,CC-North 123
Talk 3 Predicting Demand for Wildfire Suppression Resources,10/15/2023,8:00 AM,10/15/2023,9:15 AM,Part of SA30. Agricultural and Environmental Operations,CC-North 132C
Talk 3 The K Traveling Repairman Problem with Stochastic Service Requests,10/15/2023,8:00 AM,10/15/2023,9:15 AM,Part of SA41. Traveling Salesperson and Repairman Problems,CC-North 225B
Talk 1 Distributionally Robust Optimization: The Science of Underpromising and Overdelivering,10/15/2023,9:30 AM,10/15/2023,10:35 AM,Part of SP01. Opening Plenary: IFORS Distinguished Lecture,CC-West 301ABC
Talk 1 Community-engaged School District Design: A Stream-based Approach,10/15/2023,10:45 AM,10/15/2023,12:00 PM,Part of SB79. Doing Good with Good O.R.,CC-West 211B
